## OFFICIAL2025GENERALMUNICIPALELECTIONRESULTS

| Registered voters                       | W1P1     | W1P2     | W2P1     | W2P2      | W3P1      | W3P2      | W4P1 1625   | W4P2 W5P1 2679   | 2752   | WSP2. 2609   | W6P1 2789   | W6P2 2634   | W6P2A 175   | W7P1   | W7P2 2165   | W7P2A 102   | W8P1 2794   | W8P2 2473   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   |
| NICHOLAS G GIURLEO                      | 289      | 344      | 354      | 527       | 577       | 691       | 84          | 349              | 171    | 140          | 357         | 435         | 45          | 1.23   | 134         | 1           | 365         | 246         | 5232          | 5232          | 5232          | 5232          | 5232          | 5232          | 5232          | 5232          |
| NATE MERRITT                            | 301      | 327      | 324      | 468       | 546       | 585       | 80          | 297              | 151    | 128          | 315         | 394         | 51          | 112    | 128         | 。           | 332         | 212         | 4751          | 4751          | 4751          | 4751          | 4751          | 4751          | 4751          | 4751          |
| LIZMULLANE                              | 303      | 355      | 315      | 537       | 461       | 605       | 222         | 567              | 435    | 451          | 682         | 544         | 30          | 139    | 188         | 12          | 450.        | 385         | 6661          | 6661          | 6661          | 6661          | 6661          | 6661          | 6661          | 6661          |
| MELANIE TRINGAL!                        | 353      | 421      | 425      | 590       | 648       | 756       | 112         | 422              | 219    | 180          | 433         | 508         | 57          | 140    | 166         | 2           | 474         | 296         | 6202          | 6202          | 6202          | 6202          | 6202          | 6202          | 6202          | 6202          |
| Totalnumberofwrite-ins                  | 2        | 6        | 16       | 6         | 15        | 16        | 6           | 16               | 7      | 4            | 19          | 4           | 1           | 6      | 1           |             | 3           | 5           | 133           | 133           | 133           | 133           | 133           | 133           | 133           | 133           |
| Times Blank Voted                       | 612      | 745      | 718      | 1096      | 1189      | 1266      | 149         | 728              | 454    | 464          | 910         | 854         | 41          | 352    | 329         | 15          | 770         | 607         | 11299         | 11299         | 11299         | 11299         | 11299         | 11299         | 11299         | 11299         |
| SCHOOLCOMMITTEE                         |          |          |          |           |           |           |             |                  |        |              |             |             |             |        |             |             |             |             |               |               |               |               |               |               |               |               |
| NICOLE BRANLEY                          | 318      | 386      | 387      | 576       | 577       | 713       | 103         | 370              | 255    | 242          | 436         | 470         | 51          | 179    | 183         | 3           | 400         | 270         | 5919          | 5919          | 5919          | 5919          | 5919          | 5919          | 5919          | 5919          |
| JENNY R GRAHAM                          | 403      | 418      | 381      | 629       | 549       | 789       | 248         | 622              | 491    | 505          | 779         | 651         | 41          | 189    | 243         | 12          | 561         | 451         | 7962          | 7962          | 7962          | 7962          | 7962          | 7962          | 7962          | 7962          |
| JOHN LINTOPPA                           | 332      | 346      | 443      | 559       | 545       | 611       | 111         | 374              | 224    | 198          | 382         | 406         | 44          | 146    | 155         | 4           | 392         | 271         | 5543          | 5543          | 5543          | 5543          | 5543          | 5543          | 5543          | 5543          |
