|                    | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
| 一            |             |             |             |             |             |             |         |
| 1            |             |             |             |             |             |             |         |
| S            | 82          |             | 90          |             | 69          |             | 241     |
| TOTAL        | 440         |             | 511         |             | 438         |             | 1389    |

|           | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|-----------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| QUESTION1 | Precinct1   | HC          | Precinct2   | HC          | Precinct3   | HC          | TOTAL   |
|           | 306         |             | 337         |             | 316         |             | 959     |
| NO        | 126         |             | 165         |             | 115         |             | 406     |
| BLANKS    | 8           |             | 9           |             | 7           |             | 24      |
| TOTAL     | 440         |             | 511         |             | 438         |             | 1389    |
|           | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
| QUESTION2 | Precinct1   | HC          | Precinct2   | HC          | Precinct3   | HC          | TOTAL   |
| YE5       | 347         |             | 387         |             | 327         |             | 1061    |
| NO        | 90          |             | 121         |             | 107         |             | 318     |
| BLANKS    | 3           |             | 3           |             | 4           |             | 10      |
| TOTAL     | 440         |             | 511         |             | 438         |             | 1389    |
|           | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
| QUESTION3 | Precinct1   | HC          | Precinct2   | HC          | Precinct3   | HC          | TOTAL   |
| YES       | 343         |             | 387         |             | 322         |             | 1052    |
| NO        | 95          |             | 122         |             | 112         |             | 329     |
| BLANKS    | 2           |             | 2           |             | 4           |             | 8       |
| TOTAL     | 440         |             | 511         |             | 438         |             | 1389    |
