## ANNUALTOWNELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIALRESULTS

|                                | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
| BLANKS                             | 215     | 269     | 206     | 410      | 110     | 123     | 218     | 193     | 228     | 1972    |
| WRITE-INS                          | 3       | 1       | 0       | 3        | 1       | 0       | 2       | 3       | 1       | 14      |
| SCATTERING                         |         |         |         |          |         |         |         |         |         | 0       |
| TOTALVOTE                          | 536     | 660     | 546     | 954      | 290     | 328     | 566     | 570     | 540     | 4990    |
| MEM.TOWNPLANNINGBD.-1(5YRS.)       |         |         |         |          |         |         |         |         |         |         |
| DEBORAHA.HOLMWOOD                  | 179     | 204     | 209     | 311      | 97      | 107     | 193     | 191     | 170     | 1661    |
| BLANKS                             | 87      | 126     | 63      | 163      | 47      | 55      | 88      | 91      | 66      | 819     |
| WRITE-INS                          | 2       | 0       | 1       | 3        | 1       | 2       | 2       | 3       | 1       | 15      |
| SCATTERING                         |         |         |         |          |         |         |         |         |         | 0       |
| TOTALVOTE                          | 268     | 330     | 273     | 477      | 145     | 164     | 283     | 285     | 270     | 2495    |
| MEMNORWOODHOUSINGAUTHORITY-1(5YRS) |         |         |         |          |         |         |         |         |         |         |
| MICHAELJ.FITZGIBBON                | 173     | 207     | 184     | 292      | 98      | 108     | 186     | 199     | 176     | 1623    |
| BLANKS                             | 95      | 122     | 89      | 183      | 47      | 56      | 97      | 84      | 94      | 867     |
| WRITE-INS                          | 0       | 1       | 0       | 2        | 0       | 0       | 0       | 2       | 0       | 5       |
| SCATTERING                         |         |         |         |          |         |         |         |         |         | 0       |
|                                    |         | 330     | 273     | 477      |         | 164     | 283     | 285     | 270     |         |
| TOTALVOTE                          | 268     |         |         |          | 145     |         |         |         |         | 2495    |

## ANNUALTOWN ELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD

## OFFICIALRESULTS

|                    | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|--------------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
| CONSTABLE-1(3YRS.) |         |         |         |         |         |         |         |         |         |         |
| ROBERTJOHNDISARIO  | 172     | 190     | 175     | 293     | 66      | 114     | 189     | 192     | 169     | 1593    |
| BLANKS             | 95      | 139     | 98      | 182     | 46      | 50      | 94      | 92      | 66      | 895     |
| WRITE-INS          | 1       | 1       | 0       | 2       | 0       | 0       | 0       | 1       | 2       | 7       |
| SCATTERING         |         |         |         |         |         |         |         |         |         | 0       |
| TOTALVOTE          | 268     | 330     | 273     | 477     | 145     | 164     | 283     | 285     | 270     | 2495    |

## ANNUALTOWNELECTION

## MONDAY,APRIL6,2026

## TOWNOFNORWOOD

## OFFICIALRESULTS

|                                     | DIST1     | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|-------------------------------------|-----------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
| TMM-DISTRICT1-10(3YRS.)             | DIST1 147 |         |         |         |         |         |         |         |         | 147     |
| NORMANDP.BEAUCHEMIN JUDITHE.BROMLEY | 150       |         |         |         |         |         |         |         |         | 150     |
| COURTNEYLYNNBRUNO                   | 151       |         |         |         |         |         |         |         |         | 151     |
| EDWARDFRANCISCLEARY                 | 152       |         |         |         |         |         |         |         |         | 152     |
| DANIELJ.DOBBELS                     | 149       |         |         |         |         |         |         |         |         | 149     |
| TERRYGIPSON                         | 142       |         |         |         |         |         |         |         |         | 142     |
| KEVINMICHAELKUIETAUSKAS             | 151       |         |         |         |         |         |         |         |         | 151     |
| JEANNEC.VAUTOUR                     | 140       |         |         |         |         |         |         |         |         | 140     |
| ALEXANDERVARGUS                     | 139       |         |         |         |         |         |         |         |         | 139     |
|                                     | 1346      |         |         |         |         |         |         |         |         | 1346    |
| BLANKS                              |           |         |         |         |         |         |         |         |         |         |
| WRITE-INS                           | 13        |         |         |         |         |         |         |         |         |         |
|                                     | 11        |         |         |         |         |         |         |         |         | 13      |
| THOMASDAVIDLORENTZ                  | 2         |         |         |         |         |         |         |         |         |         |
| SCATTERING                          | 2680      |         |         |         |         |         |         |         |         | 2680    |
| TOTALVOTE                           |           |         |         |         |         |         |         |         |         |         |
| TMM-DISTRICT1-1(1YR.)               | DIST1     |         |         |         |         |         |         |         |         |         |
| (TOFILLAVACANCY)                    |           |         |         |         |         |         |         |         |         |         |
| ARLENEK.FRY                         | 174       |         |         |         |         |         |         |         |         | 174     |
| BLANKS                              | 93        |         |         |         |         |         |         |         |         | 0       |
|                                     | 1         |         |         |         |         |         |         |         |         | 0       |
| WRITE-INS                           |           |         |         |         |         |         |         |         |         |         |
| SCATTERING                          | 0         |         |         |         |         |         |         |         |         | 0       |
|                                     | 268       |         |         |         |         |         |         |         |         |         |
| TOTALVOTE                           |           |         |         |         |         |         |         |         |         | 268     |

## ANNUALTOWNELECTION

## MONDAY,APRIL6,2026

## TOWNOFNORWOOD

## OFFICIALRESULTS

|                        | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|------------------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
| TMM-DISTRICT2-10(3YRS) |         |         |         |         |         |         |         |         |         |         |
| GERRITBETZ             | 171     |         |         |         |         |         |         |         |         | 171     |
| KYLER.GEKOPI           | 163     |         |         |         |         |         |         |         |         | 163     |
| CHRISTOPHERP.GRIFFIN   | 207     |         |         |         |         |         |         |         |         | 207     |
| NATALIEA.HEBSHIE       | 144     |         |         |         |         |         |         |         |         | 144     |
| MICHAELE.JUSCZYK       | 150     |         |         |         |         |         |         |         |         | 150     |
| PATRICKT.MOLONEY       | 174     |         |         |         |         |         |         |         |         | 174     |
| SIMONTUCHMAN           | 156     |         |         |         |         |         |         |         |         | 156     |
| JAMESR.WEST            | 154     |         |         |         |         |         |         |         |         | 154     |
|                        |         |         |         |         |         |         |         |         |         | 0       |
| BLANKS                 | 1964    |         |         |         |         |         |         |         |         | 1964    |
| WRITE-INS              | 17      |         |         |         |         |         |         |         |         | 17      |
| BRIANJOSEPHCLARK       | 3       |         |         |         |         |         |         |         |         |         |
| SCATTERING             | 14      |         |         |         |         |         |         |         |         |         |
| TOTALVOTE              | 3300    |         |         |         |         |         |         |         |         | 3300    |
| TMM-DISTRICT2-1(1YR)   |         |         |         |         |         |         |         |         |         |         |
| BLANKS                 | 314     |         |         |         |         |         |         |         |         | 314     |
| WRITE-INS              | 16      |         |         |         |         |         |         |         |         | 16      |
|                        | 0       |         |         |         |         |         |         |         |         | 0       |
| SCATTERING             |         |         |         |         |         |         |         |         |         |         |
| TOTALVOTE              | 330     |         |         |         |         |         |         |         |         | 330     |

## ANNUALTOWNELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIALRESULTS

|                                | DIST1   | DIST2   | DIST3   | DIST 4   | DIST5   | DIST6   | DIST 7   | DIST8   | DIST9   | TOTAL   |
|--------------------------------|---------|---------|---------|----------|---------|---------|----------|---------|---------|---------|
| TMM-DISTRICT3-9(3YRS)          |         |         |         |          |         |         |          |         |         |         |
| MICHAELCHRISTOPHERBERRY        | 160     |         |         |          |         |         |          |         |         | 160     |
| DOUGLASJOSEPHCOHEN             | 153     |         |         |          |         |         |          |         |         | 153     |
| KEISHAB.DESIR                  | 151     |         |         |          |         |         |          |         |         | 151     |
| GEORGEH.DURANTE                | 153     |         |         |          |         |         |          |         |         | 153     |
| PAULAEDITHGORIN                | 157     |         |         |          |         |         |          |         |         | 157     |
| MARKCHARLESMANDIGO             | 158     |         |         |          |         |         |          |         |         | 158     |
| EDWARDANTHONYMICHENZIE         | 159     |         |         |          |         |         |          |         |         | 159     |
| PATTERSONA.RILEY,JR.           | 162     |         |         |          |         |         |          |         |         | 162     |
| BLANKS                         | 1198    |         |         |          |         |         |          |         |         | 1198    |
| WRITE-INS                      | 6       |         |         |          |         |         |          |         |         | 6       |
| SCATTERING                     |         |         |         |          |         |         |          |         |         |         |
| TOTALVOTE                      | 2457    |         |         |          |         |         |          |         |         | 2457    |
| TMM-DISTRICT3-1(1YR)           |         |         |         |          |         |         |          |         |         |         |
| BLANKS                         | 265     |         |         |          |         |         |          |         |         | 265     |
| WRITE-INS MATTHEWGERRITHUISMAN | 2       |         |         |          |         |         |          |         |         | 8       |
|                                | 8       |         |         |          |         |         |          |         |         |         |
| SCATTERING                     | 6       |         |         |          |         |         |          |         |         |         |
| TOTALVOTE                      | 281     |         |         |          |         |         |          |         |         | 281     |

