WARD 11, PRECINCT 4 2,263 487 21.52%
WARD 11, PRECINCT 5 1,739 393 22.60%
WARD 11, PRECINCT 6 1,291 465 36.02%
WARD 11, PRECINCT 7 1,820 587 32.25%
WARD 11, PRECINCT 8 2,440 781 32.01%
WARD 11, PRECINCT 9 1,070 446 41.68%
WARD 11, PRECINCT 10 1,340 474 35.37%
WARD 12, PRECINCT 1 1,839 368 20.01%
WARD 12, PRECINCT 2 2,251 391 17.37%
WARD 12, PRECINCT 3 974 200 20.53%
WARD 12, PRECINCT 4 1,355 237 17.49%
WARD 12, PRECINCT 5 748 185 24.73%
WARD 12, PRECINCT 6 1,063 213 20.04%
WARD 12, PRECINCT 7 2,638 387 14.67%
WARD 12, PRECINCT 8 885 149 16.84%
WARD 12, PRECINCT 9 1,099 215 19.56%
WARD 13, PRECINCT 1 1,527 236 15.46%
WARD 13, PRECINCT 2 693 92 13.28%
WARD 13, PRECINCT 3 1,733 214 12.35%
WARD 13, PRECINCT 4 1,227 200 16.30%
WARD 13, PRECINCT 5 1,158 211 18.22%
WARD 13, PRECINCT 6 1,470 294 20.00%
WARD 13, PRECINCT 7 1,565 339 21.66%
WARD 13, PRECINCT 8 1,345 257 19.11%
WARD 13, PRECINCT 9 1,444 310 21.47%
WARD 13, PRECINCT 10 1,797 677 37.67%
WARD 14, PRECINCT 1 2,776 355 12.79%

Page: 5 of 53 11/5/2025 10:30:11 AM
Precinct Registered Voters Cast % Turnout
Voters
WARD 14, PRECINCT 2 2,752 372 13.52%
WARD 14, PRECINCT 3 1,332 217 16.29%
WARD 14, PRECINCT 4 1,692 238 14.07%
WARD 14, PRECINCT 5 1,160 151 13.02%
WARD 14, PRECINCT 6 1,179 148 12.55%
WARD 14, PRECINCT 7 1,255 167 13.31%
WARD 14, PRECINCT 8 1,441 264 18.32%
WARD 14, PRECINCT 9 1,469 183 12.46%
WARD 14, PRECINCT 10 1,498 219 14.62%
WARD 14, PRECINCT 11 1,436 229 15.95%
WARD 14, PRECINCT 12 774 144 18.60%
WARD 14, PRECINCT 13 1,097 204 18.60%
WARD 14, PRECINCT 14 1,261 214 16.97%
WARD 15, PRECINCT 1 1,754 231 13.17%
WARD 15, PRECINCT 2 1,205 115 9.54%
WARD 15, PRECINCT 3 813 100 12.30%
WARD 15, PRECINCT 4 2,074 295 14.22%
WARD 15, PRECINCT 5 1,372 179 13.05%
WARD 15, PRECINCT 6 1,142 229 20.05%
WARD 15, PRECINCT 7 1,212 161 13.28%
WARD 15, PRECINCT 8 1,116 171 15.32%
WARD 15, PRECINCT 9 1,173 167 14.24%
WARD 16, PRECINCT 1 1,311 216 16.48%
WARD 16, PRECINCT 2 1,142 227 19.88%
WARD 16, PRECINCT 3 1,631 290 17.78%
WARD 16, PRECINCT 4 1,445 289 20.00%
WARD 16, PRECINCT 5 1,596 342 21.43%
WARD 16, PRECINCT 6 2,164 413 19.09%
WARD 16, PRECINCT 7 1,371 458 33.41%
WARD 16, PRECINCT 8 2,147 693 32.28%
WARD 16, PRECINCT 9 1,636 603 36.86%
WARD 16, PRECINCT 10 1,553 350 22.54%
WARD 16, PRECINCT 11 834 296 35.49%
WARD 16, PRECINCT 12 1,262 651 51.58%
WARD 17, PRECINCT 1 1,380 202 14.64%
WARD 17, PRECINCT 2 913 160 17.52%
WARD 17, PRECINCT 3 1,928 381 19.76%

Page: 6 of 53 11/5/2025 10:30:11 AM
Precinct Registered Voters Cast % Turnout
Voters
WARD 17, PRECINCT 4 2,098 528 25.17%
WARD 17, PRECINCT 5 1,085 137 12.63%
WARD 17, PRECINCT 6 1,461 320 21.90%
WARD 17, PRECINCT 7 835 128 15.33%
WARD 17, PRECINCT 8 1,325 196 14.79%
WARD 17, PRECINCT 9 972 290 29.84%
WARD 17, PRECINCT 10 1,848 295 15.96%
WARD 17, PRECINCT 11 698 123 17.62%
WARD 17, PRECINCT 12 1,008 239 23.71%
WARD 17, PRECINCT 13 1,385 375 27.08%
WARD 17, PRECINCT 14 1,377 397 28.83%
WARD 18, PRECINCT 1 2,324 508 21.86%
WARD 18, PRECINCT 2 1,547 321 20.75%
WARD 18, PRECINCT 3 1,801 386 21.43%
WARD 18, PRECINCT 4 1,900 394 20.74%
WARD 18, PRECINCT 5 1,832 496 27.07%
WARD 18, PRECINCT 6 2,151 542 25.20%
WARD 18, PRECINCT 7 1,722 393 22.82%
WARD 18, PRECINCT 8 2,911 663 22.78%
WARD 18, PRECINCT 9 1,631 550 33.72%
WARD 18, PRECINCT 10 2,248 836 37.19%
WARD 18, PRECINCT 11 1,548 341 22.03%
WARD 18, PRECINCT 12 1,660 464 27.95%
WARD 18, PRECINCT 13 1,132 265 23.41%
WARD 18, PRECINCT 14 1,137 245 21.55%
WARD 18, PRECINCT 15 1,630 403 24.72%
WARD 18, PRECINCT 16 1,705 590 34.60%
WARD 18, PRECINCT 17 1,846 443 24.00%
WARD 18, PRECINCT 18 2,213 477 21.55%
WARD 18, PRECINCT 19 2,870 684 23.83%
WARD 18, PRECINCT 20 2,245 590 26.28%
WARD 18, PRECINCT 21 2,125 481 22.64%
WARD 18, PRECINCT 22 1,871 601 32.12%
WARD 18, PRECINCT 23 1,595 238 14.92%
WARD 19, PRECINCT 1 1,405 541 38.51%
WARD 19, PRECINCT 2 1,566 656 41.89%
WARD 19, PRECINCT 3 828 352 42.51%

Page: 7 of 53 11/5/2025 10:30:11 AM
Precinct Registered Voters Cast % Turnout
Voters
WARD 19, PRECINCT 4 1,804 741 41.08%
WARD 19, PRECINCT 5 1,362 528 38.77%
WARD 19, PRECINCT 6 1,782 745 41.81%
WARD 19, PRECINCT 7 1,690 561 33.20%
WARD 19, PRECINCT 8 1,111 468 42.12%
WARD 19, PRECINCT 9 938 364 38.81%
WARD 19, PRECINCT 10 1,889 662 35.04%
WARD 19, PRECINCT 11 1,752 348 19.86%
WARD 19, PRECINCT 12 1,272 504 39.62%
WARD 19, PRECINCT 13 1,206 359 29.77%
WARD 20, PRECINCT 1 1,580 607 38.42%
WARD 20, PRECINCT 2 1,738 662 38.09%
WARD 20, PRECINCT 3 1,769 410 23.18%
WARD 20, PRECINCT 4 1,280 573 44.77%
WARD 20, PRECINCT 5 1,896 527 27.80%
WARD 20, PRECINCT 6 1,702 715 42.01%
WARD 20, PRECINCT 7 1,056 421 39.87%
WARD 20, PRECINCT 8 1,257 447 35.56%
WARD 20, PRECINCT 9 1,454 519 35.69%
