<!-- image -->

## OFFICIALRESULTS

## ANNUALTOWNELECTION Milford, Massachusetts

Tuesday, April 1, 2025

| PRECINCT                                        |                                                  | 1      | 2       | 3                          | 4      | 5       | 6       | 7       | 8       | TOTAL     |
| 13 Haven St. Write-In                           | (Write-in Candidate)                             | 2      | 2       | 0                          | 0      | 1       | 0       | 0       | 0       | 5         |
| Blanks                                          |                                                  | 48     | 73      | 55                         | 55     | 78      | 111     | 105     | 108     | 633       |
|                                                 | TOTAL                                            | 142 71 | 206 103 | 152 76                     | 138 69 | 270 135 | 322 161 | 320 160 | 308 154 | 1225 1863 |

| FORTRUSTEEOFVERNONGROVECEMETERY           | FORTRUSTEEOFVERNONGROVECEMETERY                  |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           | 929                                       |
|-------------------------------------------|--------------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|
| For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two        | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two |
| PAULA.BOISCLAIR 13 Elizabeth Rd.          | (Candidate for Re-election)                      | 44                                        | 69                                        | 49                                        | 44                                        | 102                                       | 118                                       | 118                                       | 108                                       | 652                                       |
| FREDERICKELLIOTT                          |                                                  | 37                                        | 64                                        | 46                                        | 39                                        | 91                                        | 92                                        | 106                                       | 93                                        | 568                                       |
| 5A Elm St. Write-In                       | (Candidate for Re-election) (Write-in Candidate) | 0                                         | 0                                         | 0                                         | 0                                         | 4                                         | 1                                         | 0                                         | 0                                         | 5                                         |
| Blanks                                    |                                                  | 61                                        | 73                                        | 57                                        | 55                                        | 73                                        | 111                                       | 96                                        | 107                                       | 633                                       |
|                                           | TOTAL                                            | 142                                       | 206                                       | 152                                       | 138                                       | 270                                       | 322                                       | 320                                       | 308                                       | 1225                                      |
|                                           |                                                  | 71                                        | 103                                       | 76                                        | 69                                        | 135                                       | 161                                       | 160                                       | 154                                       | 1858                                      |
|                                           |                                                  |                                           |                                           |                                           |                                           |                                           | -                                         |                                           |                                           |                                           |
| FORWATERCOMMISSIONER                      | FORWATERCOMMISSIONER                             | FORWATERCOMMISSIONER                      | FORWATERCOMMISSIONER                      | FORWATERCOMMISSIONER                      | FORWATERCOMMISSIONER                      | FORWATERCOMMISSIONER                      | FORWATERCOMMISSIONER                      | FORWATERCOMMISSIONER                      | FORWATERCOMMISSIONER                      | FORWATERCOMMISSIONER                      |
| ForThreeYears JONATHANM.BRUCE             |                                                  |                                           | Vote for One                              |                                           |                                           |                                           |                                           |                                           |                                           |                                           |
| 30 Jillson Cir.                           |                                                  | 42                                        | 74                                        | 51                                        | 39                                        | 96                                        | 107                                       | 118                                       | 99                                        | 626                                       |
